Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
JPM,J P Morgan Chase & Co,86.75,3.10414E+11,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/jpm
WFC,Wells Fargo & Company,55.71,2.79793E+11,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wfc
BAC,Bank of America Corporation,22.63,2.28677E+11,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bac
C,Citigroup Inc.,60.75,1.73121E+11,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/c
ICE,Intercontinental Exchange Inc.,57.33,1.70751E+11,n/a,2005,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ice
HSBC,HSBC Holdings plc,40.52,1.60565E+11,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/hsbc
RY,Royal Bank Of Canada,68.61,1.01931E+11,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/ry
GS,"Goldman Sachs Group, Inc. (The)",241.44,96008426952,n/a,1999,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/gs
TD,Toronto Dominion Bank (The),49.92,92733647985,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/td
MTU,Mitsubishi UFJ Financial Group Inc,6.32,89547150960,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/mtu
USB,U.S. Bancorp,52.17,88672116484,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/usb
MS,Morgan Stanley,43.37,81224259304,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ms
WBK,Westpac Banking Corporation,23.5,78497392231,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/wbk
SAN,"Banco Santander, S.A.",5.15,74337636782,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/san
LFC,China Life Insurance Company Limited,13.02,73601291820,n/a,2003,Finance,Life Insurance,http://www.nasdaq.com/symbol/lfc
AXP,American Express Company,75.32,68937035146,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/axp
AIG,"American International Group, Inc.",66.66,68468827033,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/aig
BNS,Bank of Nova Scotia (The),56.55,68314872479,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bns
BLK,"BlackRock, Inc.",393.53,64403621631,n/a,1999,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/blk
CB,D/B/A Chubb Limited New,133.32,62039015345,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cb
BSBR,Banco Santander Brasil SA,8.06,61701508440,n/a,2009,Finance,Commercial Banks,http://www.nasdaq.com/symbol/bsbr
MET,"MetLife, Inc.",54.58,59990811060,n/a,2000,Finance,Life Insurance,http://www.nasdaq.com/symbol/met
UBS,UBS AG,16.03,59415500580,n/a,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/ubs
LYG,Lloyds Banking Group Plc,3.21,57342361767,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/lyg
PNC,"PNC Financial Services Group, Inc. (The)",117.64,57232043754,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/pnc
ING,"ING Group, N.V.",14.29,55304919714,n/a,1997,Finance,Commercial Banks,http://www.nasdaq.com/symbol/ing
SMFG,Sumitomo Mitsui Financial Group Inc,7.87,53799988950,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/smfg
SCHW,The Charles Schwab Corporation,39.98,53000371957,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/schw
HDB,HDFC Bank Limited,60.59,51060940355,n/a,2001,Finance,Commercial Banks,http://www.nasdaq.com/symbol/hdb
PUK,Prudential Public Limited Company,39.34,50729601691,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/puk
BK,Bank Of New York Mellon Corporation (The),47.55,50276356329,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bk
BCS,Barclays PLC,11.27,47736902500,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/bcs
MFG,"Mizuho Financial Group, Inc.",3.71,47050984260,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mfg
BMO,Bank Of Montreal,72.39,46746662896,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/bmo
PRU,"Prudential Financial, Inc.",106.47,45782100000,n/a,2001,Finance,Life Insurance,http://www.nasdaq.com/symbol/pru
BBDO,Banco Bradesco Sa,8.08,44697631600,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bbdo
BBD,Banco Bradesco Sa,8.07,44642312749,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bbd
