Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
AAPL,Apple Inc.,117.06,6.24201E+11,n/a,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl
GOOGL,Alphabet Inc.,812.2,5.598E+11,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/googl
GOOG,Alphabet Inc.,794.56,5.47641E+11,n/a,2004,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/goog
MSFT,Microsoft Corporation,63.54,4.94046E+11,n/a,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/msft
FB,"Facebook, Inc.",119.04,3.43093E+11,n/a,2012,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/fb
INTC,Intel Corporation,36.98,1.75248E+11,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/intc
ORCL,Oracle Corporation,38.83,1.59294E+11,n/a,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/orcl
IBM,International Business Machines Corporation,167.33,1.59106E+11,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/ibm
CSCO,"Cisco Systems, Inc.",30.42,1.52701E+11,n/a,1990,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/csco
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,29.14,1.51122E+11,n/a,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/tsm
SAP,SAP SE,85.95,1.0559E+11,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/sap
QCOM,QUALCOMM Incorporated,67.16,99187709697,n/a,1991,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/qcom
DCM,"NTT DOCOMO, Inc",23.07,85826297846,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/dcm
TXN,Texas Instruments Incorporated,74.17,74131856446,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/txn
AVGO,Broadcom Limited,182.29,72429195649,n/a,2009,Technology,Semiconductors,http://www.nasdaq.com/symbol/avgo
NVDA,NVIDIA Corporation,105.83,57042370000,n/a,1999,Technology,Semiconductors,http://www.nasdaq.com/symbol/nvda
ADBE,Adobe Systems Incorporated,105.51,52170054670,n/a,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
CRM,Salesforce.com Inc,70.11,48845637000,n/a,2004,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/crm
ADP,"Automatic Data Processing, Inc.",102.47,46231719546,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/adp
DVMT,Dell Technologies Inc.,57.29,44950632651,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/dvmt
BIDU,"Baidu, Inc.",163.92,44918232094,274025330,2005,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/bidu
